Video id,language,wd,type,channel
7r8-DcNMUtw,ko,291,music,Minimel
BOWtHIlZS5M,ko,235,animation,sum
RjHYFeBgUgM,jp,185,commentary,Aho ga tsukutta dōga
j-KaIWW55Ls,ko,114,music,Minimel
sM9vpsmY-m4,ko,111,DIY,Dal-lyeo-la-chi-kin Dalchi
X8bogf4-0Yo,ko,101,animation,sum
tM1eKXldWdk,jp,98,entertainment,HikakinGames
-Ww-2Ldji1k,jp,98,commentary,Yukkī GAME wārudo
L84nfJri27Y,ko,92,game in game,Ssom-ttamTV SsomDDam
_deDa_S-dQU,ko,88,animation,sum
uUjM1d2uo9c,ko,88,animation,Damomo
NeGqWuYxwx0,ko,85,entertainment,Mae-dong-i ui jag-eun jib
I-jLrWcyNJw,ko,80,exhibition,Sseon-syas YouTube
ZVu5umw2_aw,ko,80,animation,sum
RrtHrMGKi4k,jp,76,entertainment,kokopy official
